id,Address,Response_Address,Response_X,Response_Y
1,台北市復興北路99號,臺北市松山區中正里31鄰復興北路99號,121.544280,25.052848
2,台北市松山區復興北路99號,臺北市松山區中正里31鄰復興北路99號,121.544280,25.052848
3,台北市延平南路八十一號,臺北市中正區光復里9鄰延平南路81號,121.510808,25.043664
4,台中市自由路2段1號,臺中市中區公園里5鄰自由路二段1號,120.679901,24.138252
5,台南市中正路26號,臺南市中西區永華里16鄰中正路26號;臺南市仁德區仁義里44鄰中正路三段26號;臺南市玉井區玉井里10鄰中正路26號;臺南市白河區白河里11鄰中正路26號;臺南市麻豆區巷口里1鄰中正路26號;臺南市新市區新和里3鄰中正路26號;臺南市新營區大宏里10鄰中正路26號;臺南市楠西區楠西里14鄰中正路26號;臺南市鹽水區月港里8鄰中正路26號,120.203394;120.252116;120.459532;120.415719;120.248722;120.292282;120.316340;120.483671;120.267707,22.992252;22.972415;23.122126;23.349468;23.184229;23.070734;23.309629;23.178110;23.320523
6,高雄市大勇路131號,高雄市路竹區甲北里17鄰大勇路129號;高雄市路竹區甲北里17鄰大勇路133號,120.271294;120.271178,22.873571;22.873550
7,嘉義市中山路309號,嘉義市東區中央里16鄰中山路309號,120.449800,23.479659
8,新竹市中央路1號,新竹市北區中山里14鄰中央路1號,120.966595,24.803758
9,花蓮縣玉里鎮中山路二段五十五號,花蓮縣玉里鎮國武里23鄰中山路二段55號,121.314895,23.333297
10,花蓮縣花蓮市中山路356號,花蓮縣花蓮市國安里2鄰中山路356號,121.605281,23.982630
11,台北市和平東路3段15號,臺北市大安區群賢里10鄰和平東路三段15號,121.547465,25.024833
12,台北市中山北路五段六八九號,臺北市士林區舊佳里1鄰中山北路五段689號,121.527246,25.097344
13,高雄市建國一路458號,高雄市三民區博惠里27鄰建國一路458號,120.316464,22.635522
14,彰化市光復路九十八號,找不到指定的門牌地址。,,
15,台南市白河區三民路三九五號,臺南市白河區永安里15鄰三民路395號,120.414849,23.351634
16,台北市南港區南港路1段364號,臺北市南港區南港里23鄰南港路一段364號,121.606405,25.054469
17,台北市基隆路1段200號,臺北市信義區興隆里10鄰基隆路一段200號,121.563547,25.040272
18,台北縣板橋市東門街30之2號,新北市板橋區流芳里9鄰東門街30之2號,121.457959,25.008462
19,台北縣樹林市復興路11號,新北市樹林區樹福里20鄰復興路11號,121.422666,24.994423
20,新北市新店區安和路一段25之5號及25之6號,新北市新店區公崙里2鄰安和路一段25之5號,121.517045,24.965247
21,新竹市大同路130號3樓及新竹市中山路3號,新竹市北區大同里2鄰中山路2號;新竹市北區中山里7鄰中山路5號,120.968301;120.967597,24.806588;24.805854
22,新北市新店區北新路2段108號,新北市新店區新安里8鄰北新路二段108號,121.543077,24.974149
23,桃園市桃園區經國路126號2樓及128號,桃園市桃園區新埔里20鄰經國路126號,121.306343,25.015716
