Name,Address,Website,Type,lon,lat
犇亞證券,台北市復興北路99號3樓、6樓及6樓之1,https://www.nvesto.com/tpe/broker/6010/buysell#!/point/6010/,券商,121.544280,25.052848
犇亞-網路,台北市松山區復興北路99號4樓之3,https://www.nvesto.com/tpe/broker/6010/buysell#!/point/6012/,券商,121.544280,25.052848
土銀,台北市延平南路八十一號,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1030/,券商,121.510808,25.043664
土銀-台中,台中市自由路2段1號4樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1031/,券商,120.679901,24.138252
土銀-台南,台南市中正路26號4樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1032/,券商,120.203394,22.992252
土銀-高雄,高雄市大勇路131號,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1033/,券商,120.271294,22.873571
土銀-嘉義,嘉義市中山路309號3 樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1034/,券商,120.449800,23.479659
土銀-新竹,新竹市中央路1號4、5樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1035/,券商,120.966595,24.803758
土銀-玉里,花蓮縣玉里鎮中山路二段五十五號一、二樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1036/,券商,121.314895,23.333297
土銀-花蓮,花蓮縣花蓮市中山路356號3樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1037/,券商,121.605281,23.982630
土銀-和平,台北市和平東路3段15號3樓部分,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1038/,券商,121.547465,25.024833
土銀-士林,台北市中山北路五段六八九號三樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/1039/,券商,121.527246,25.097344
土銀-建國,高雄市建國一路458號3樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/103A/,券商,120.316464,22.635522
土銀-白河,台南市白河區三民路三九五號三樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/103C/,券商,120.414849,23.351634
土銀-南港,台北市南港區南港路1段364號5樓,https://www.nvesto.com/tpe/broker/1030/buysell#!/point/103F/,券商,121.606405,25.054469
大和國泰,台北市基隆路1段200號13樓之1、14樓、14樓之1,https://www.nvesto.com/tpe/broker/8890/buysell#!/point/8890/,券商,121.563547,25.040272
大昌,台北縣板橋市東門街30之2號2樓之1至85及9樓之1、2,https://www.nvesto.com/tpe/broker/6460/buysell#!/point/6460/,券商,121.457959,25.008462
大昌-樹林,台北縣樹林市復興路11號1、2樓及13號1、2樓及15號1、2樓,https://www.nvesto.com/tpe/broker/6460/buysell#!/point/6461/,券商,121.422666,24.994423
大昌-安康,新北市新店區安和路一段25之5號及25之6號,https://www.nvesto.com/tpe/broker/6460/buysell#!/point/6462/,券商,121.517045,24.965247
大昌-新竹,新竹市大同路130號3樓及新竹市中山路3號2至4樓,https://www.nvesto.com/tpe/broker/6460/buysell#!/point/6463/,券商,120.968301,24.806588
大昌-新店,新北市新店區北新路2段108號3樓,https://www.nvesto.com/tpe/broker/6460/buysell#!/point/6464/,券商,121.543077,24.974149
大昌-桃園,桃園市桃園區經國路126號2樓及128號2樓,https://www.nvesto.com/tpe/broker/6460/buysell#!/point/6465/,券商,121.306343,25.015716
大展,台北市承德路1段17號17樓、17樓之1、之2、之3,https://www.nvesto.com/tpe/broker/5050/buysell#!/point/5050/,券商,121.517065,25.050153
大慶,台北市民生東路2段174、176號3樓部份、4樓、174號12樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5260/,券商,121.535690,25.057707
大慶-蘆洲,新北市蘆洲區中山一路161號地下一樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5261/,券商,121.475479,25.081491
大慶-楊梅,桃園市楊梅區新成路208號1樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5262/,券商,121.147139,24.907989
大慶-泰山,"新北市泰山區明志路1段205號5樓之1,之2",https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5263/,券商,121.432734,25.061405
大慶-高雄,高雄市中華四路159號4樓之1,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5264/,券商,120.299958,22.618041
大慶-苗栗,苗栗縣苗栗市建民街60號4樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5265/,券商,120.823956,24.565902
大慶-中壢,桃園市平鎮區環南路18號地下1層之1之3之4,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5266/,券商,121.206652,24.956620
大慶-基隆,基隆市義一路18號5樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5267/,券商,121.745265,25.131951
大慶-台南,臺南市成功路518號3樓之1、之2,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5268/,券商,120.196541,23.001448
大慶-台中,台中市崇德路2段130號地下1樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/5269/,券商,120.685655,24.171122
大慶-中和,新北市中和區景新街338號3樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/526A/,券商,121.511923,24.990735
大慶-富順,新北市三重區自強路一段73號3樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/526K/,券商,121.497485,25.067048
大慶-長榮,新北市蘆洲區長榮路136號2樓,https://www.nvesto.com/tpe/broker/5260/buysell#!/point/526L/,券商,121.461481,25.084624
中國信託,臺北市南港區經貿二路168號3樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6160/,券商,121.616179,25.058917
中國信託-三重,新北市三重區重陽路一段66號2樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6161/,券商,121.486534,25.058489
中國信託-忠孝,台北市中正區忠孝西路一段6號4樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6162/,券商,121.518144,25.045821
中國信託-永康,台南市永康區中華路425號2樓部分,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6163/,券商,120.232675,23.010051
中國信託-文心,台中市北屯區文心路四段八七五號三樓部分,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6164/,券商,120.693417,24.171561
中國信託-新竹,新竹市民族路139號2樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6165/,券商,120.978393,24.808752
中國信託-松江,台北市中山區松江路220號3樓之1,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6167/,券商,121.532916,25.058171
