id,Name,Type,lon,lat
1,犇亞證券,券商,121.54428,25.052848
2,犇亞-網路,券商,121.54428,25.052848
3,土銀,券商,121.510808,25.043664
4,土銀-台中,券商,120.679901,24.138252
5,土銀-台南,券商,120.203394,22.992252
6,土銀-高雄,券商,120.271294,22.873571
7,土銀-嘉義,券商,120.4498,23.479659
8,土銀-新竹,券商,120.966595,24.803758
9,土銀-玉里,券商,121.314895,23.333297
10,土銀-花蓮,券商,121.605281,23.98263
11,土銀-和平,券商,121.547465,25.024833
12,土銀-士林,券商,121.527246,25.097344
13,土銀-建國,券商,120.316464,22.635522
14,土銀-白河,券商,120.414849,23.351634
15,土銀-南港,券商,121.606405,25.054469
16,大和國泰,券商,121.563547,25.040272
17,大昌,券商,121.457959,25.008462
18,大昌-樹林,券商,121.422666,24.994423
19,大昌-安康,券商,121.517045,24.965247
20,大昌-新竹,券商,120.968301,24.806588
21,大昌-新店,券商,121.543077,24.974149
22,大昌-桃園,券商,121.306343,25.015716
23,大展,券商,121.517065,25.050153
24,大慶,券商,121.53569,25.057707
25,大慶-蘆洲,券商,121.475479,25.081491
26,大慶-楊梅,券商,121.147139,24.907989
27,大慶-泰山,券商,121.432734,25.061405
28,大慶-高雄,券商,120.299958,22.618041
29,大慶-苗栗,券商,120.823956,24.565902
30,大慶-中壢,券商,121.206652,24.95662
31,大慶-基隆,券商,121.745265,25.131951
32,大慶-台南,券商,120.196541,23.001448
33,大慶-台中,券商,120.685655,24.171122
34,大慶-中和,券商,121.511923,24.990735
35,大慶-富順,券商,121.497485,25.067048
36,大慶-長榮,券商,121.461481,25.084624
37,中國信託,券商,121.616179,25.058917
38,中國信託-三重,券商,121.486534,25.058489
39,中國信託-忠孝,券商,121.518144,25.045821
40,中國信託-永康,券商,120.232675,23.010051
41,中國信託-文心,券商,120.693417,24.171561
42,中國信託-新竹,券商,120.978393,24.808752
43,中國信託-松江,券商,121.532916,25.058171
44,中國信託-嘉義,券商,120.446029,23.47971
45,中國信託-雙和,券商,121.514729,24.996573
46,中國信託-中壢,券商,121.22562,24.95559
47,中國信託-高雄,券商,120.295244,22.629445
48,中國信託-國際證券,券商,121.616179,25.058917
49,中農,券商,120.537532,24.259971
50,元大,券商,121.543673,25.052049
51,元大-松江,券商,121.533289,25.055091
52,元大- 斗六,券商,120.54078,23.708317
53,元大-開元,券商,120.218569,23.006975
54,元大-竹科,券商,121.01984,24.782153
55,元大-南崁,券商,121.291517,25.047923
56,元大-南海,券商,121.517281,25.032779
57,元大-承德,券商,121.518147,25.070588
58,元大-沙鹿,券商,120.559048,24.235986
59,元大-清水,券商,120.57617,24.270216
60,元大-台北,券商,121.513096,25.043075
61,元大-虎尾,券商,120.433797,23.709517
62,元大-府城,券商,120.200413,22.99391
63,元大-西屯,券商,120.647386,24.17085
64,元大-台中,券商,120.680734,24.138387
65,元大-八德,券商,121.551709,25.048081
66,元大-大益,券商,120.196178,22.975949
67,元大-大灣,券商,120.261375,23.005879
68,元大-新竹,券商,120.974939,24.81302
69,元大-東泰,券商,120.341727,22.636424
70,元大-桃園,券商,121.311142,24.992508
71,元大-鶯歌,券商,121.35365,24.956858
72,元大-竹北,券商,121.01033,24.82648
73,元大-路竹,券商,120.25984,22.854514
74,元大-南投,券商,120.685501,23.909896
75,元大-發財,券商,121.453492,25.045241
76,元大-福營,券商,121.422237,25.019055
77,元大-彰化,券商,120.542216,24.074377
78,元大-天母,券商,121.530377,25.110624
79,元大-林園,券商,120.397977,22.502257
80,元大-莒光,券商,120.298788,22.709899
81,元大-苗栗,券商,120.821608,24.559685
82,元大-金門,券商,118.319547,24.438614
83,元大-太平,券商,120.719666,24.129705
84,元大-竹山,券商,120.682531,23.756568
85,元大-崇德,券商,120.685695,24.16986
86,元大-華山,券商,121.526726,25.0442
87,元大-民雄,券商,120.425948,23.55571
88,元大-東門,券商,121.532466,25.035274
89,元大-潮州,券商,120.540451,22.556657
90,元大-歸仁,券商,120.29316,22.966709
91,元大-佳里,券商,120.177899,23.162333
92,元大-大里,券商,120.680535,24.105974
93,元大-屏東民生,券商,120.491845,22.67001
94,元大-西螺,券商,120.460365,23.801316
95,元大-士林,券商,121.525392,25.093343
96,元大-前金,券商,120.296595,22.629352
97,元大-旗山,券商,120.482195,22.887936
98,元大-松山,券商,121.561572,25.051259
99,元大-艋舺,券商,121.499208,25.035923
100,元大-屏南,券商,120.490943,22.677036
101,元大-善化,券商,120.298878,23.129474
102,元大-大統,券商,120.963876,24.798953
103,元大-土城學府,券商,121.458319,24.988361
104,元大-向上,券商,120.661409,24.146894
105,元大-新營,券商,120.318029,23.304821
106,元大-永康,券商,120.23581,22.998792
107,元大-羅東,券商,121.771996,24.679093
108,元大-博愛,券商,120.305552,22.660962
109,元大-六合,券商,120.313018,22.632484
110,元大-忠孝鼎富,券商,121.55628,25.041155
111,元大-四維,券商,120.302411,22.616444
112,元大-敦化,券商,121.549145,25.030622
113,元大-中壢,券商,121.224041,24.957308
114,元大-員林,券商,120.57105,23.955448
115,元大-北港,券商,120.301889,23.568168
116,元大-豐原,券商,120.708849,24.250926
117,元大-林森,券商,120.223406,22.987365
118,元大-上新莊,券商,121.459657,25.04519
119,元大-學甲,券商,120.182554,23.229132
120,元大-木柵,券商,121.56732,24.988333
121,元大-大安,券商,121.546053,25.024875
122,元大-頭份,券商,120.907712,24.685859
123,元大-竹南,券商,120.878857,24.686608
124,元大-大里德芳,券商,120.690353,24.113157
125,元大-鳳山,券商,120.331121,22.5957
126,元大-竹東,券商,121.089327,24.730103
127,元大-大雅,券商,120.647589,24.225155
128,元大-仁愛,券商,121.543892,25.037398
129,元大-新店中正,券商,121.539517,24.972989
130,元大-南勢角,券商,121.512058,24.990981
